V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,P7,P9,P10,Q10,P11,P12,P13,P14,LoadMargin
1.045,1.07,1.0568,-5.0119,-14.267,-15.072,233.68,49.887,-6.2581,6.6769,-1.369,29.533,12.764,4.8929,5.0534,5.6891,13.077,11.792,39.284
1.045,1.07,1.0473,-6.182,-17.434,-18.9,286.58,79.839,-3.573,4.4533,-0.28807,41.455,13.291,7.2535,3.2352,10.859,9.6117,17.305,30.839
1.045,1.07,1.0533,-5.0746,-14.29,-15.489,236.24,50.355,-2.0849,5.7835,0.37555,31.718,14.234,6.001,3.5153,5.0328,9.4845,14.806,41.987
1.045,1.07,1.0564,-5.0024,-14.171,-15.004,233.39,46.878,-3.0372,9.6544,0.7619,34.605,6.1614,4.9414,4.3821,6.7505,13.085,10.649,19.023
1.045,1.07,1.0537,-5.4115,-16.373,-17.419,252.47,41.654,-3.931,6.8623,-0.06826,42.205,10.188,3.8749,3.8411,8.933,17.679,18.424,26.317
1.045,1.07,1.055,-5.4354,-15.841,-16.309,253.09,59.041,-4.5454,5.4398,0.28528,26.524,10.578,5.4852,4.2172,7.4624,18.057,18.628,28.798
1.045,1.07,1.0463,-5.9857,-17.192,-19.068,278.18,61.777,-4.312,8.3977,0.3592,44.313,20.636,6.8785,3.4415,6.6065,10.892,16.026,47.992
1.045,1.07,1.0563,-5.1657,-14.615,-14.899,240.76,57.305,-2.1935,9.003,1.4479,23.562,9.9352,6.3778,2.518,6.6391,18.672,10.382,29.859
1.045,1.07,1.06,-4.666,-13.291,-12.66,218.1,51.585,-6.3644,8.5825,0.44426,2.8092,11.092,8.0397,4.017,8.1351,16.106,16.084,37.339
1.045,1.07,1.0552,-4.9399,-14.338,-15.045,230.88,39.169,-3.2787,11.014,1.3015,29.928,11.477,6.4869,5.713,4.8664,15.603,11.56,35.052
1.045,1.07,1.055,-5.1705,-13.812,-15.082,240.11,65.435,-2.2796,5.3335,0.12802,32.374,5.9646,4.4654,2.7443,4.6021,5.7066,16.462,17.956
1.045,1.07,1.0591,-4.5039,-12.425,-12.904,210.41,42.495,-2.115,9.4181,-0.88763,25.208,5.7752,5.4088,2.3521,5.5387,11.118,11.104,20.458
1.045,1.07,1.0623,-4.3201,-11.649,-11.143,201.81,52.051,-2.9291,8.4042,-0.73521,4.2921,8.5616,6.381,3.2844,7.4034,12.013,8.9467,32.595
1.045,1.07,1.0525,-5.239,-14.66,-16.243,243.93,50.856,-4.7948,8.2122,0.67804,46.742,8.6307,5.6878,2.1709,5.8741,11.461,7.7298,24.823
1.045,1.07,1.0519,-5.6393,-16.964,-17.752,263.02,47.881,-0.36582,10.227,0.6654,36.217,8.3925,5.0707,3.2998,9.8076,16.891,25.499,20.273
1.045,1.07,1.0591,-4.6824,-13.518,-13.925,218.87,39.395,-5.5297,7.7403,1.2395,23.6,11.189,5.0492,4.212,6.4539,15.058,10.869,37.188
1.045,1.07,1.0584,-4.6346,-13.274,-13.334,216.85,41.045,-4.3405,10.809,-0.71549,21.121,6.6908,7.2364,3.0475,7.5401,14.912,13.455,22.558
1.045,1.07,1.0524,-5.3469,-15.968,-17.712,249.33,36.816,-2.1897,6.9589,-0.33317,45.921,16.572,2.1926,2.1898,6.415,12.474,19.843,42.006
1.045,1.07,1.0553,-5.1206,-14.376,-15.133,238.93,51.658,-6.5798,11.629,0.72251,30.07,6.4474,6.6564,4.1471,5.8434,12.122,15.203,19.501
1.045,1.07,1.0628,-4.1916,-11.704,-11.827,196.1,36.335,-2.2441,7.1443,-1.0551,15.505,12.869,3.6833,3.6572,7.0168,10.958,6.6257,49.467
1.045,1.07,1.058,-5.1907,-14.785,-15.294,241.62,58.014,-2.851,4.6971,1.5618,28.085,5.1917,3.4575,4.0607,7.1567,16.278,15.074,15.353
1.045,1.07,1.0567,-5.4803,-15.449,-15.649,255.4,65.072,-2.7874,12.612,0.18678,21.165,5.8147,4.9206,4.0709,6.2789,17.072,20.107,16.174
1.045,1.07,1.055,-5.0594,-14.046,-14.487,235.8,57.612,-2.4139,9.8328,-1.4936,24.148,8.204,7.6035,2.8496,4.0516,15.272,14.497,25.234
1.045,1.07,1.055,-4.7551,-13.814,-14.571,221.8,41.158,-4.08,3.3045,-0.96516,33.206,14.455,7.4246,3.0944,7.1045,15.891,5.1355,45.919
1.045,1.07,1.054,-4.8123,-13.773,-14.645,224.63,40.109,-3.5032,7.7064,2.0241,36.326,7.3147,8.1018,2.2953,7.1995,13.939,8.0912,23.134
1.045,1.07,1.0573,-4.6373,-12.301,-13.125,216.26,50.427,-4.7876,10.12,0.90737,21.018,9.7383,6.2674,3.1755,4.6095,3.9637,13.443,33.845
1.045,1.07,1.058,-4.4103,-13.345,-13.714,206.58,24.015,-3.2845,5.3239,0.73026,22.126,9.1749,5.6879,2.5906,5.9462,14.344,23.935,28.309
1.045,1.07,1.0575,-5.1474,-15.332,-15.777,240.46,43.378,-3.7698,8.9686,-1.222,25.193,11.294,3.2959,3.3744,5.4048,18.746,23.701,31.331
1.045,1.07,1.0553,-4.844,-13.544,-13.777,225.78,54.263,-3.7203,6.4806,0.12219,16.807,13.45,9.0866,2.7417,9.4094,9.9471,12.705,43.383
1.045,1.07,1.0572,-4.5917,-12.805,-13.446,214.49,40.683,-3.556,9.1788,1.603,22.51,10.22,6.4682,3.6152,4.9301,9.5091,13.534,34.818
1.045,1.07,1.0592,-4.333,-12.714,-13.243,203.2,23.364,-3.6639,10.009,-0.089026,26.526,9.1004,5.0934,1.6155,6.2978,12.729,15.886,31.448
1.045,1.07,1.0519,-5.1546,-14.379,-15.357,239.98,55.942,-4.3725,7.4216,-0.18036,33.544,9.0636,8.944,6.3164,6.8077,8.9959,10.869,26.942
1.045,1.07,1.0545,-5.1657,-13.901,-14.502,240.26,67.2,-3.2694,8.6381,-0.092851,19.084,5.6446,7.3334,2.8969,3.9458,8.0014,23.425,16.755
1.045,1.07,1.0521,-5.6728,-15.752,-16.996,263.78,66.439,-2.9895,10.439,0.22427,39.114,8.7127,5.5095,3.0383,8.1979,10.499,13.317,23.187
1.045,1.07,1.0574,-4.8056,-13.121,-14.148,224.05,49.044,-5.7486,8.5952,0.44524,36.38,2.8472,4.9248,2.8794,6.2185,8.9934,9.1207,9.4453
1.045,1.07,1.0573,-5.3226,-15.385,-16.25,248.02,52.397,-2.7613,7.6516,-0.025628,29.672,14.344,1.8051,5.0898,5.7965,15.384,15.561,40.319
1.045,1.07,1.0551,-4.9184,-14.246,-15.012,229.59,41.329,-2.336,7.8878,1.0004,34.868,8.6789,6.3435,2.1685,4.9201,18.687,9.8907,26.629
1.045,1.07,1.0571,-5.3118,-15.012,-15.775,247.46,57.74,-4.2009,9.0545,-0.18221,30.122,8.7826,3.2826,2.3043,7.7513,13.299,16.519,25.32
1.045,1.07,1.0578,-4.7861,-14.232,-14.667,223.76,36.168,-2.771,7.2223,-1.5849,29.933,8.9601,4.7851,3.4557,5.7627,19.141,15.001,27.788
1.045,1.07,1.0624,-4.4763,-12.845,-12.776,209.37,40.551,-4.7392,7.2219,-0.24517,18.15,1.4467,3.6852,2.706,7.5454,14.237,19.301,4.9969
1.045,1.07,1.0518,-5.5878,-16.232,-16.916,260.08,61.42,-5.1097,6.5036,-0.89288,31.464,12.776,7.8085,4.1492,8.1169,17.094,15.895,33.615
1.045,1.07,1.0546,-4.9083,-13.852,-14.004,228.72,55.244,-3.0725,5.7659,0.33778,21.123,9.3456,9.7486,2.8314,7.03,16.393,10.515,29.637
1.045,1.07,1.0534,-5.3895,-15.581,-16.387,250.85,56.344,-3.8083,5.1073,2.1513,32.791,8.4816,6.3032,4.1992,7.1577,16.091,16.004,23.328
1.045,1.07,1.0571,-5.4357,-15.117,-15.601,252.46,72.808,-2.9465,3.5691,-0.34461,20.003,10.58,3.6134,4.8838,6.4967,12.949,18.736,29.881
1.045,1.07,1.0592,-4.5648,-13.427,-13.368,213.82,35.871,-4.6944,9.7448,-2.5382,21.983,10.209,6.7186,3.6056,6.7236,19.671,9.8806,34.583
