V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,Q5,P7,Q7,P9,Q9,P10,Q10,P11,Q11,P12,Q12,P13,P14,Q14,LoadMargin
1.045,1.07,1.0668,-5.1676,-13.564,-14.867,240.35,64.913,-4.0914,10.046,1.5781,0.54084,1.6934,33.192,7.4113,7.2876,4.2229,4.2223,1.6324,5.3971,0.92221,6.8643,6.7783,2.7972,13.389
1.045,1.07,1.0502,-4.1928,-12.078,-12.202,196.73,25.378,-4.8575,11.733,1.752,0.95436,1.8111,16.626,24.335,6.0937,8.3679,4.2129,1.4438,4.6301,1.7757,8.8942,20.883,2.9345,14.07
1.045,1.07,1.0499,-4.6439,-13.6,-14.818,217.66,22.774,-3.9892,13.798,1.0384,-1.4399,0.012037,41.134,20.028,10.282,5.8756,3.3174,1.8787,3.2743,1.1056,12.197,13.323,6.677,10.057
1.045,1.07,1.0646,-4.575,-12.778,-13.059,213.58,47.454,-5.8541,6.0769,1.9778,-1.7205,-1.3559,16.707,11.261,10.433,6.5404,3.8504,1.5412,6.1629,2.0071,11.274,14.622,6.2236,13.501
1.045,1.07,1.0622,-4.2988,-12.583,-12.646,201.55,28.467,-5.0381,8.7972,1.9101,0.37345,1.057,23.128,13.522,6.9414,6.5082,4.8718,1.6208,7.308,2.0216,16.519,7.6187,6.1383,17.798
1.045,1.07,1.049,-5.2142,-15.738,-16.173,243.37,43.681,-3.7195,6.5129,1.5912,-0.35988,0.11056,33.456,19.881,13.059,8.1078,3.0826,1.6455,6.0579,0.90648,24.517,11.624,5.5659,8.3998
1.045,1.07,1.0605,-4.6966,-13.121,-14.501,219.29,37.027,-4.1096,8.9742,1.986,-0.14902,0.025117,35.795,13.561,9.7137,3.4121,2.8065,1.533,5.7793,1.9561,5.5944,14.575,4.9757,9.225
1.045,1.07,1.0469,-5.2382,-15.139,-16.019,243.68,53.991,-1.9152,3.1988,1.3755,-0.0050062,2.0294,32.442,20.805,12.939,7.8344,3.3863,2.5025,6.9365,1.4049,13.461,15.532,3.2511,9.3074
1.045,1.07,1.0591,-4.6454,-13.021,-14.224,216.43,41.616,-2.9976,2.7757,1.6376,0.89935,0.62076,36.136,11.513,7.3282,5.3771,2.1812,2.4172,5.5268,2.6499,9.6618,11.326,7.4405,7.2316
1.045,1.07,1.0574,-5.1515,-14.809,-15.825,240.09,49.547,-3.7043,6.5756,1.6014,-2.3932,-0.5494,37.172,15.619,7.5494,6.4698,3.6764,1.5643,7.3017,1.7451,12.237,17.114,1.3268,10.747
1.045,1.07,1.0592,-4.5819,-13.025,-12.245,213.87,53.831,-3.3896,5.3137,2.4798,-0.12701,2.0296,3.4985,19.292,6.6221,4.123,4.0274,1.0919,4.0347,1.0364,21.805,15.899,6.03,13.62
1.045,1.07,1.0523,-5.3358,-15.264,-16.471,248.31,53.606,-3.5289,5.6342,1.7906,1.2145,0.39326,35.368,13.842,12.535,8.1929,1.5618,0.77509,3.0119,1.4844,16.613,16.445,6.8998,4.2791
1.045,1.07,1.0538,-5.0633,-14.487,-14.724,235.98,54.737,-3.5944,6.5382,2.0313,0.55155,0.18777,18.796,17.875,9.3708,5.626,4.1663,2.0107,6.141,1.6843,14.492,20.106,7.2962,12.218
1.045,1.07,1.0645,-4.897,-13.696,-14.832,228.52,43.594,-3.9435,9.6113,2.2671,1.9546,-0.43832,33.886,9.5852,4.0416,4.2555,2.4706,1.1797,3.8476,2.5155,12.014,16.989,5.0167,7.8874
1.045,1.07,1.0611,-3.8346,-11.478,-11.763,180.19,12.388,-4.9515,5.0046,0.98683,1.4305,0.71567,23.948,15.98,8.3864,5.8404,3.6873,1.5857,3.9614,2.513,16.402,9.1176,5.8399,14.463
1.045,1.07,1.0605,-5.3934,-15.325,-16.613,251.47,51.417,-2.9913,11.863,2.1201,-1.5429,-2.6742,38.958,11.722,8.2446,3.3511,3.5631,0.96043,5.3731,1.7634,12.49,18.584,6.5612,9.9432
1.045,1.07,1.0453,-5.1372,-15.484,-16.553,239.95,34.476,-3.6151,8.4909,1.7983,-0.6751,-0.18985,43.015,22.835,8.5871,6.2582,3.3604,1.6883,7.3735,1.5238,14.716,19.173,5.38,8.7478
1.045,1.07,1.0545,-5.0824,-14.391,-15.077,236.63,55.427,-5.2195,4.7471,1.9564,-0.058653,0.42772,33.148,18.006,6.3902,4.3696,3.2415,1.9706,7.1142,1.7192,15.199,10.513,6.5169,9.8192
1.045,1.07,1.061,-4.7288,-13.964,-14.848,221.43,28.781,-4.7436,10.472,1.3064,-0.15464,-0.57237,40.065,13.634,7.4827,5.4123,3.1053,2.555,6.6486,2.4684,17.566,8.1985,3.172,10.014
1.045,1.07,1.0616,-5.6626,-16.397,-17.107,263.65,62.485,-4.2413,7.9252,2.0299,-0.69045,-1.4929,32.213,11.107,7.857,4.3912,4.5253,2.5994,7.0601,1.8081,19.104,19.179,3.9975,11.983
1.045,1.07,1.0407,-4.7878,-14.037,-15.111,223.49,34.876,-4.9707,6.1117,2.1833,-2.0518,0.64876,39.575,26.113,7.7615,7.0721,2.8785,1.3658,7.2836,1.7981,7.6428,19.545,7.8888,7.7476
1.045,1.07,1.0503,-4.4856,-12.768,-13.233,209.52,38.396,-3.6539,6.2438,1.7333,-1.0266,-1.1626,27.93,24.921,9.2091,4.6102,3.8189,1.4641,5.1289,1.3495,13.373,8.1927,6.3961,12.883
