V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,P7,P9,P10,Q10,P11,P12,Q12,P13,P14,LoadMargin
1.045,1.07,1.0508,-5.7283,-17.269,-18.234,267.31,46.47,-4.7098,11.642,1.757,42.155,11.097,6.2633,1.287,9.0465,1.8812,21.615,17.837,21.99
1.045,1.07,1.0519,-5.7133,-15.67,-17.462,264.99,71.038,-4.0983,4.3188,0.52753,46.372,8.17,3.5866,2.2704,3.9053,1.0787,11.82,12.481,10.236
1.045,1.07,1.051,-5.7652,-16.655,-17.448,268.38,62.483,-1.5688,10.555,-0.12705,36.185,9.2695,7.0224,5.6258,9.2506,1.4429,15.708,15.036,23.484
1.045,1.07,1.0578,-4.7925,-14.497,-15.16,224.11,31.061,-4.5169,5.5923,-0.027678,25.931,16.593,3.4588,3.8369,5.9009,1.8339,16.174,19.17,17.541
1.045,1.07,1.0595,-4.9385,-13.497,-13.728,230.14,59.933,-3.6126,9.0451,0.29373,24.156,1.7984,4.7532,3.5753,4.9091,1.6709,16.588,9.6793,16.037
1.045,1.07,1.0591,-4.8169,-13.343,-14.566,224.62,44.062,-2.8526,8.2051,1.3854,34.601,8.4298,1.3313,3.8282,7.7242,1.8577,5.4841,11.275,25.082
1.045,1.07,1.0573,-5.0541,-15.346,-15.029,236.22,45.031,-3.8679,6.9374,-0.71444,21.524,10.762,6.9908,3.197,8.2438,2.1518,27.212,12.945,24.072
1.045,1.07,1.0546,-5.0531,-14.173,-15.705,235.46,45.597,-3.1956,8.1587,0.0079275,39.621,11.985,3.8322,2.5483,5.5007,0.72729,7.7808,13.48,16.344
1.045,1.07,1.0557,-4.7122,-13.461,-13.405,219.9,48.895,-3.8709,5.6878,0.8412,8.7457,13.121,9.5247,4.1959,5.7299,2.4225,13.041,20.129,18.233
1.045,1.07,1.0515,-5.2433,-14.891,-16.402,243.99,50.743,-3.4874,5.3828,-0.27974,43.756,8.9509,6.2839,4.2838,5.5311,2.3258,10.261,13.636,15.503
1.045,1.07,1.0626,-4.0012,-11.83,-12.254,187.77,17.083,-5.0876,5.65,2.148,14.941,9.187,2.6375,5.367,0.80477,1.1235,11.616,24.191,2.7412
1.045,1.07,1.0533,-5.5461,-16.63,-16.86,258.62,54.107,-3.8983,7.8336,0.73159,28.515,10.321,7.3339,4.4213,7.407,0.69622,24.607,17.187,19.234
1.045,1.07,1.0536,-5.2629,-15.258,-15.666,245.64,51.087,-3.6642,11.409,0.14906,26.12,9.1594,7.9436,2.2867,6.1331,1.5451,18.039,19.275,17.249
1.045,1.07,1.054,-5.1237,-14.548,-15.659,238.77,49.031,-4.2711,7.6431,0.56524,30.948,13.969,5.8006,3.4044,4.5628,0.76781,11.497,15.969,13.337
1.045,1.07,1.0504,-5.711,-16.192,-16.537,265.37,74.424,-4.1736,5.8778,0.85499,21.621,11.277,10.223,3.7296,7.5765,1.3912,16.652,19.066,19.702
1.045,1.07,1.0557,-4.5416,-12.857,-13.767,212.37,34.368,-5.2841,9.4295,-1.4578,32.23,5.8356,7.3598,2.4048,3.1553,1.0256,10.668,17.14,10.464
1.045,1.07,1.0587,-5.1394,-14.533,-14.422,239.59,61.701,-4.3765,8.5993,-0.527,13.508,10.135,5.4849,3.6421,8.4689,1.7758,15.534,17.202,25.646
1.045,1.07,1.0584,-5.6113,-15.345,-15.296,260.92,80.727,-3.3838,10.583,0.71335,16.224,6.5083,4.2221,3.5387,7.6919,1.783,17.911,13.498,21.617
1.045,1.07,1.0557,-5.3308,-14.878,-15.244,248.08,66.513,-5.0609,7.4527,0.43264,19.979,10.358,6.4979,2.1286,7.1598,2.0117,14.31,17.519,20.743
1.045,1.07,1.0527,-5.2202,-14.584,-15.646,242.84,57.733,-3.5543,5.8297,0.58767,31.719,10.281,7.0608,3.4893,4.4378,2.4881,11.698,15.432,12.865
1.045,1.07,1.0558,-4.764,-14.377,-15.212,222.94,27.546,-4.4031,7.7049,-0.52642,29.097,15.572,5.1307,3.6225,5.6391,1.6869,13.933,20.591,16.511
1.045,1.07,1.0549,-4.9612,-14.197,-14.873,231.51,47.309,-6.0146,8.0185,-1.5613,32.97,8.7583,7.7457,3.0558,8.2329,1.6349,13.37,11.024,25.487
1.045,1.07,1.0599,-4.0911,-12.1,-12.225,192.17,19.667,-3.2634,9.5444,-0.75456,22.456,8.5851,6.7333,4.6041,7.4662,2.2412,13.098,10.739,27.821
1.045,1.07,1.0548,-5.0669,-14.452,-15.518,236.2,47.014,-3.8772,7.3265,0.58647,32.405,9.442,5.1564,2.9683,3.6508,1.1236,12.868,18.944,10.697
1.045,1.07,1.0535,-4.9796,-14.091,-14.958,232.16,48.815,-5.9028,7.1286,0.31086,34.291,8.4612,8.5435,2.81,5.1558,1.2651,14.851,9.929,15.899
1.045,1.07,1.0598,-4.6106,-12.802,-12.706,215.45,49.227,-7.1856,9.654,1.4846,8.4057,8.6923,6.9635,3.3666,4.1463,1.0256,13.609,17.932,14.261
1.045,1.07,1.0612,-4.232,-12.066,-12.36,198.27,31.314,-6.1379,8.3313,-2.2525,17.271,8.7116,4.8839,4.8914,4.8559,1.0464,8.7441,18.993,17.55
1.045,1.07,1.0552,-5.6775,-16.17,-16.688,264.11,68.542,-4.5863,7.8846,1.8249,25.694,5.476,4.4439,3.4925,7.7494,1.8074,15.572,23.685,20.203
1.045,1.07,1.0578,-4.8849,-13.767,-13.974,227.76,53.993,-4.3137,6.5635,-0.29453,19.067,11.079,6.2928,2.8794,3.8354,2.1182,18.508,12.08,12.326
1.045,1.07,1.0606,-4.5173,-12.757,-12.808,211.23,41.823,-3.2047,9.2202,0.53399,17.308,6.9053,5.146,4.1066,5.6071,1.3606,14.616,12.695,19.709
1.045,1.07,1.0559,-5.0546,-14.654,-15.847,235.79,41.858,-5.5155,6.8688,0.96509,41.044,9.1996,3.9523,3.6958,3.5824,0.24862,17.695,10.104,10.621
1.045,1.07,1.0539,-5.4243,-15.64,-16.97,252.32,54.667,-4.704,3.931,0.43544,37.83,12.618,3.4314,3.205,6.3493,1.8685,12.828,17.717,17.085
1.045,1.07,1.0533,-5.2112,-15.071,-15.988,242.6,52.176,-4.187,3.6605,0.78806,31.258,7.7363,6.2431,4.1788,6.9229,3.04,11.355,22.686,19.165
1.045,1.07,1.0553,-4.7168,-14.034,-15.075,220.46,29.11,-3.288,5.8265,0.19874,40.577,9.6298,5.6293,4.2496,7.1107,1.696,14.361,10.12,21.958
1.045,1.07,1.0549,-5.0441,-14.332,-14.868,235.24,51.184,-1.9215,9.0738,-0.93729,25.737,8.4037,6.8034,2.2875,6.0555,2.486,13.597,18.952,18.078
1.045,1.07,1.0608,-4.8402,-12.757,-13.205,225.29,64.611,-6.6516,7.6015,-0.21837,17.163,4.4176,3.5064,3.501,5.2798,1.5559,6.851,16.296,17.837
1.045,1.07,1.0545,-5.2789,-15.004,-15.802,245.81,56.134,-1.5239,7.528,0.065603,32.473,7.455,5.4443,2.4911,6.6351,2.0014,14.678,16.409,18.904
1.045,1.07,1.0562,-4.7802,-13.953,-14.79,222.88,41.458,-6.007,1.5544,-0.35072,24.533,12.583,5.2468,3.5638,6.2978,1.653,8.936,24.384,18.607
1.045,1.07,1.0576,-4.4559,-12.961,-13.205,208.68,32.144,-3.7945,9.3323,-0.63896,23.219,11.353,7.6997,3.656,4.8306,1.6328,17.179,9.4324,16.691
1.045,1.07,1.0567,-4.785,-13.606,-13.987,223.13,49.199,-3.492,5.0579,-1.7092,25.489,11.053,7.1218,3.4688,5.6385,1.2784,16.642,8.7438,18.36
1.045,1.07,1.0562,-4.8824,-14.245,-14.736,227.86,42.748,-4.1998,5.5686,3.0541,22.855,10.256,6.3019,3.4249,7.4886,1.8885,13.527,18.744,22.796
1.045,1.07,1.0524,-5.5458,-16.004,-16.564,257.91,64.241,-2.7152,4.7921,0.1363,32.138,7.9004,7.4821,1.2579,5.8078,1.7291,22.294,15.945,15.475
1.045,1.07,1.0548,-4.9978,-14.508,-15.225,233.25,44.486,-5.3736,7.3761,-0.09438,26.647,12.018,6.6723,2.7173,3.8456,1.1574,15.637,19.862,11.31
1.045,1.07,1.0554,-4.844,-14.18,-14.199,226.26,44.426,-3.5192,7.1443,1.788,23.6,5.3966,9.2995,5.1579,6.4897,1.9054,20.05,12.278,20.362
1.045,1.07,1.0568,-4.8075,-13.167,-13.235,224.22,56.899,-4.2398,9.4604,-0.059459,14.499,8.7209,8.6372,2.904,5.3391,0.93251,13.144,13.645,17.723
1.045,1.07,1.059,-4.4706,-12.26,-12.513,208.41,50.08,-4.9896,3.7984,-0.61524,18.003,6.3712,6.889,2.685,7.2758,1.1061,8.6876,13.886,26.052
1.045,1.07,1.0588,-4.4778,-12.754,-12.696,209.24,42.507,-2.1232,6.5394,-0.42229,9.934,12.84,7.011,4.2034,6.3051,1.6944,11.954,16.977,21.655
1.045,1.07,1.0584,-4.7559,-12.956,-13.801,221.6,51.043,-4.1817,6.8603,0.93223,29.439,7.6521,4.4609,4.3631,7.9245,1.4285,6.9336,7.1545,26.731
1.045,1.07,1.0549,-4.9505,-14.229,-15.013,231.18,41.943,-4.2355,9.7996,2.1092,31.409,12.687,6.9345,4.863,7.8008,1.8087,13.146,7.1952,24.069
1.045,1.07,1.0511,-5.1852,-15.187,-15.935,241.78,46.211,-2.2197,7.2203,1.8895,34.177,7.3202,9.221,3.7813,5.1876,2.6078,18.24,16.19,14.516
1.045,1.07,1.0546,-5.4717,-15.493,-16.706,254.83,55.256,-2.0306,10.611,1.6535,34.239,11.669,3.0352,6.0119,7.3594,1.9813,9.0227,16.171,20.094
1.045,1.07,1.0525,-5.196,-14.879,-15.729,242.27,49.181,-2.3823,9.6156,1.5806,32.82,10.782,7.9075,2.186,7.1003,1.4091,14.512,13.027,20.46
1.045,1.07,1.0574,-4.7637,-13.987,-14.44,222.76,36.76,-4.2785,8.4809,0.36542,20.875,9.8162,5.2419,4.6333,6.3391,1.9104,11.351,24.322,19
1.045,1.07,1.0571,-4.5191,-13.045,-13.91,211.27,31.462,-3.5123,6.8202,0.34953,31.235,10.968,5.5708,4.2098,5.4384,2.1419,11.532,10.844,18.256
1.045,1.07,1.0547,-5.5787,-15.484,-16.394,259.43,68.224,-2.9572,9.3819,-0.50447,32.747,7.7323,4.3296,3.9602,5.8868,1.6042,13.693,14.958,16.147
1.045,1.07,1.0572,-4.8234,-13.582,-14.716,224.98,42.761,-3.5159,7.3204,-0.21331,34.493,9.3329,3.517,2.2972,3.0222,1.6537,12.723,13.502,9.5993
1.045,1.07,1.0584,-4.5019,-13.226,-13.159,210.51,37.729,-3.4548,5.0754,0.015674,17.095,7.9452,7.3275,3.7161,6.2301,1.516,17.046,17.086,20.822
1.045,1.07,1.0519,-5.4568,-15.111,-16.371,253.62,63.77,-1.8987,7.2492,-0.36136,36.496,12.226,6.2577,4.7082,6.7445,1.4468,9.459,10.641,18.727
1.045,1.07,1.0598,-4.3147,-12.395,-13.434,202.06,24.642,-5.9843,7.9863,-0.68686,34.55,11.923,3.2108,2.2236,4.29,2.7247,12.135,7.4547,15.31
1.045,1.07,1.0574,-4.6245,-13.747,-14.317,216.48,30.324,-5.5483,7.8594,-1.3618,27.563,13.286,5.9263,3.8808,6.7009,1.0055,14.258,14.989,21.448
1.045,1.07,1.0563,-4.7082,-13.453,-14.396,220.03,36.333,-4.4769,9.2095,0.012222,34.58,6.8459,5.7599,5.2362,5.4429,2.0669,10.623,12.552,17.651
1.045,1.07,1.0603,-4.3717,-12.948,-12.863,204.9,30.293,-4.6375,7.9458,-0.32616,17.497,8.2247,6.1428,3.4726,7.6943,1.6771,15.603,16.496,26.604
1.045,1.07,1.0567,-4.7833,-13.153,-14.278,223.18,44.601,-2.4001,10.348,-1.2399,40.831,4.8138,4.6898,1.8727,5.0057,0.73638,11.865,5.6899,16.469
1.045,1.07,1.0539,-5.4688,-15.254,-16.655,254.02,63.753,-3.9405,4.1512,-0.16359,45.558,5.4286,3.9208,2.4467,7.2683,0.66459,12.726,10.103,20.151
1.045,1.07,1.0553,-5.1178,-14.062,-14.753,238.42,59.007,-3.2954,10.255,-1.3415,31.701,6.9055,6.757,2.9324,7.5701,1.4213,11.934,8.5052,23.355
1.045,1.07,1.0535,-5.1273,-14.849,-15.683,239.26,45.272,-3.7098,9.2995,0.88179,29.863,8.6653,6.8797,3.8693,5.898,0.89873,12.221,21.926,16.678
1.045,1.07,1.0578,-5.211,-14.703,-15.645,242.91,53.105,-4.9336,9.5611,0.1416,30.782,11.452,2.4236,4.1284,8.3076,1.32,9.7936,14.134,24.594
1.045,1.07,1.0578,-4.56,-12.778,-13.782,213,36.838,-3.2571,8.1964,-0.6016,28.268,12.547,4.415,4.7302,5.9906,1.2605,5.4639,12.992,20.291
1.045,1.07,1.0493,-5.4829,-15.753,-16.82,255.17,57.396,-5.4651,6.6149,0.469,46.296,5.1811,9.9179,5.5527,3.9589,1.413,21.518,5.347,10.711
1.045,1.07,1.0544,-5.3529,-14.231,-15.14,248.85,71.369,-4.5855,10.461,-0.27881,23.683,8.5731,6.2956,4.3446,7.6564,1.8723,2.4153,18.389,22.469
1.045,1.07,1.0547,-5.0943,-14.752,-15.52,237.67,45.512,-3.8401,8.2528,2.219,34.076,4.7561,6.2172,3.3049,3.8986,1.5611,18.616,15.956,11.422
1.045,1.07,1.0572,-5.1933,-14.641,-14.951,242,59.354,-4.2779,8.6174,1.0412,21.958,7.2304,5.502,4.6325,7.14,1.5492,14.609,15.923,21.335
1.045,1.07,1.0562,-5.4062,-15.09,-15.67,251.67,64.605,-3.7197,9.6034,0.30046,22.55,14.662,4.6806,5.1756,8.9026,1.8749,10.94,12.486,25.537
1.045,1.07,1.0589,-4.6001,-13.298,-13.786,214.93,37.447,-3.5797,6.0695,1.0128,26.307,9.4829,4.8371,3.6106,5.0061,1.3908,16.46,10.77,16.811
1.045,1.07,1.0649,-4.5104,-12.123,-11.689,210.38,59.067,-4.6572,6.9212,0.25737,2.9264,7.3788,2.794,2.7746,6.9926,2.6746,12.393,13.243,25.567
1.045,1.07,1.0609,-4.3352,-11.563,-11.61,202.56,47.937,-5.1997,9.8612,0.031609,9.2739,7.8705,6.219,1.5594,3.0748,1.9261,10.42,14.849,11.567
1.045,1.07,1.0586,-4.0417,-12.198,-12.364,189.78,16.707,-4.0297,6.0557,0.057117,24.989,9.2366,8.0545,3.1126,4.1958,1.6868,19.592,9.1919,15.423
1.045,1.07,1.0637,-3.8394,-11.304,-11.229,180.52,16.763,-4.3617,7.7859,1.0859,17.892,5.2617,4.7573,3.5531,7.07,1.1401,13.625,11.606,28.534
1.045,1.07,1.0516,-5.4407,-15.986,-17.563,253.53,44.912,-2.6599,7.7514,-1.481,46.456,13.911,3.96,4.206,4.5754,2.3849,15.387,15.021,11.853
1.045,1.07,1.0577,-4.824,-13.278,-13.974,225,50.826,-5.6631,8.9306,-0.035375,24.732,10.345,5.5493,2.4624,7.5815,1.9111,8.0473,12.426,24.98
1.045,1.07,1.0572,-5.1885,-15.092,-16.204,242.16,43.227,-4.1697,9.6862,-0.33146,37.918,12.632,1.931,3.4676,8.7025,1.0695,12.588,12.854,25.058
1.045,1.07,1.057,-4.4253,-13.2,-13.577,207.17,26.513,-1.0508,6.1974,0.90183,25.778,5.5494,6.7765,3.023,5.2477,1.2729,15.505,20.143,16.893
1.045,1.07,1.0579,-4.9721,-14.252,-14.715,232.19,46.801,-4.8946,9.9045,0.4382,24.254,13.021,4.9309,4.1776,6.5618,1.8094,15.554,11.096,20.47
1.045,1.07,1.0567,-5.2896,-15.171,-15.406,246.24,62.666,-3.9676,4.9679,-1.9079,25.644,7.6933,5.551,2.1796,10.955,2.0223,15.572,16.405,31.557
1.045,1.07,1.0569,-4.962,-13.917,-14.406,231.11,55.658,-3.4159,5.4913,-0.79201,21.701,10.722,5.8041,4.4804,5.6098,0.21077,12.309,15.524,17.538
1.045,1.07,1.0547,-5.3232,-14.555,-15.321,247.56,67.029,-3.0977,8.3615,-0.91654,31.5,6.4599,6.2316,3.7968,2.7187,1.6929,16.727,9.8911,8.0024
