V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,Q5,P7,Q7,P9,Q9,P10,Q10,P11,Q11,P12,Q12,P13,Q13,P14,Q14,LoadMargin
1.045,1.07,1.0499,-4.9497,-17.795,-19.634,257.34,61.81,-2.5153,8.6636,0.79059,1.0178,-0.10989,21.381,8.863,13.687,4.277,3.0191,2.4225,6.1829,2.4469,18.95,5.6754,15.734,4.4954,19.304
1.045,1.07,1.0455,-4.9091,-17.309,-19.787,254.9,62.503,-3.0378,6.8286,2.3114,-0.39882,-0.25748,37.065,7.7668,10.804,5.9965,3.3294,1.6326,5.6359,1.8561,10.553,9.8246,12.41,6.2527,12.119
1.045,1.07,1.0407,-4.3234,-16.009,-18.183,225.39,25.094,-4.7353,12.806,2.1003,-1.4473,-0.10854,45.126,16.383,4.2613,5.7953,3.2545,2.2833,6.4265,2.0143,16.028,6.034,11.44,6.0351,11.363
1.045,1.07,1.0423,-5.1754,-18.905,-20.792,268.94,62.365,-0.52965,10.109,1.0425,0.79335,-1.8215,24.668,11.773,7.5098,6.783,3.5696,1.7702,6.7747,1.7544,20.668,5.3532,23.267,4.3407,15.273
1.045,1.07,1.0326,-5.0867,-18.988,-22.102,264.16,47.649,-5.9652,3.7589,1.5563,1.26,-0.6674,42.115,15.562,15.248,8.5136,6.0319,1.4108,3.2101,0.91209,13.756,3.4737,22.931,5.5251,24.086
1.045,1.07,1.045,-4.2198,-15.193,-16.035,219.6,46.288,-2.3702,7.5134,2.1991,-0.018334,-1.2929,16.786,20.109,8.557,6.8684,4.0932,0.74892,8.8619,2.2435,17.108,5.0371,8.756,3.4015,21.561
1.045,1.07,1.0412,-4.5245,-16.329,-18.678,235.26,43.355,-3.419,7.2154,2.0109,-1.9542,-1.1687,39.75,16.631,9.718,3.5554,2.6452,1.8404,5.2753,1.6198,12.528,4.5123,13.168,7.8916,12.771
1.045,1.07,1.0403,-4.1602,-15.036,-17.071,216.2,38.168,-3.4926,1.4016,0.90476,-0.015243,0.35019,30.511,16.793,12.599,8.5067,5.7414,2.6277,3.4566,1.8269,9.0937,4.8985,14.026,5.2929,21.055
1.045,1.07,1.0391,-4.8249,-17.364,-19.403,250.49,61.163,-3.8095,3.1016,1.3641,0.067333,-1.1045,30.306,15.673,10.005,6.4603,1.7461,2.4295,6.7597,1.9482,15.979,5.3224,15.375,6.3428,23.692
1.045,1.07,1.0376,-4.7212,-17.385,-19.501,245.29,48.869,-3.8848,3.7792,1.8837,1.0478,0.3705,33.083,18.07,8.9243,6.3959,4.6332,1.6918,8.0223,2.0132,13.57,2.8026,18.173,5.7172,18.562
1.045,1.07,1.0381,-4.6974,-16.949,-18.164,244.22,58.225,-3.2402,8.1511,1.295,0.96996,-1.1598,16.229,23.212,12.653,4.3442,2.0436,1.8018,7.0634,1.959,20.061,6.863,13.626,2.933,8.9985
1.045,1.07,1.0465,-5.0678,-17.828,-20.203,263.02,70.863,-2.8889,5.781,1.1745,-0.023609,1.2867,36.119,11.414,4.812,6.1267,5.6425,1.3744,6.9022,1.4792,10.272,3.0005,15.552,3.2646,15.82
1.045,1.07,1.0257,-4.659,-16.804,-19.165,241.91,47.079,-1.8543,7.4372,1.7281,-0.10918,1.9223,39.361,24.143,7.4712,6.9519,3.6702,1.7332,5.8041,1.8548,7.0505,8.6991,19.498,4.9626,18.91
1.045,1.07,1.0348,-4.8207,-17.413,-19.688,250.22,56.776,-3.5592,3.9041,2.3446,0.0088622,-0.76826,31.375,19.987,10.05,2.7915,3.3263,1.8557,3.2204,1.9263,14.774,7.1632,20.56,6.4655,13.803
1.045,1.07,1.042,-4.6647,-16.49,-18.956,242.33,54.042,-3.938,6.2186,1.348,-1.1981,1.4737,35.026,14.868,8.7945,4.3764,5.6095,1.5314,1.7302,1.5911,8.8258,6.8286,18.762,4.6863,21.731
1.045,1.07,1.0514,-3.7779,-13.816,-14.849,196.91,27.699,-5.151,5.4629,1.9259,-1.5378,-0.49709,23.326,13.484,1.1199,5.4864,4.4631,1.9772,8.8643,2.068,12.602,5.1947,15.596,7.5245,20.637
1.045,1.07,1.0444,-3.6834,-13.472,-14.38,192.05,21.816,-3.5484,8.1455,1.3698,0.34931,0.88732,17.195,19.389,3.2855,6.7513,4.4231,1.6342,4.1738,1.7879,15.213,7.8121,18.376,3.7542,22.567
1.045,1.07,1.0335,-5.1417,-18.747,-21.185,266.85,61.712,-3.2983,5.6381,1.5829,-0.20492,1.3677,43.47,16.411,8.3276,7.4768,3.5701,1.9537,7.1518,1.0355,19.606,0.68966,9.4451,8.1103,15.066
1.045,1.07,1.0389,-4.5995,-16.201,-17.753,239,58.692,-3.6782,8.1585,2.1783,0.26253,-0.48636,23.069,20.098,9.6654,6.5877,2.7623,1.5888,6.6391,1.4205,12.239,4.5867,13.585,5.6073,17.372
