V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,Q5,P7,Q7,P9,Q9,P10,Q10,P11,Q11,P12,Q12,P13,Q13,P14,Q14,LoadMargin
1.045,1.07,1.0637,-4.7377,-13.239,-14.004,221.16,44.676,-3.0828,8.2562,0.92399,0.14553,-2.0155,25.917,9.7822,9.0102,8.2256,2.9526,2.5989,5.6891,1.5499,10.684,5.1048,14.486,3.9618,35.844
1.045,1.07,1.0531,-5.8764,-16.869,-17.03,273.19,74.783,-2.6753,7.9063,2.0884,2.2343,0.27951,17.286,15.165,12.647,8.5656,4.3771,1.6638,10.859,1.1392,15.679,5.5993,22.144,4.7457,39.08
1.045,1.07,1.0499,-4.6837,-13.656,-14.014,218.91,37.968,-5.4251,7.7048,2.0592,0.1782,1.5513,22.449,18.47,9.6767,9.1733,3.6213,1.8079,5.0328,1.1241,13.415,5.3666,19.477,7.9887,40.372
1.045,1.07,1.0514,-4.9106,-13.852,-15.003,228.89,43.916,-2.3801,7.8653,3.4158,-0.064293,0.73741,37.474,20.394,10.558,3.9707,2.9819,2.2537,6.7505,1.5508,9.6481,8.0456,9.6822,4.2091,29.424
1.045,1.07,1.0563,-4.8594,-14.698,-15.079,227.51,31.842,-4.2948,9.7964,1.71,-0.42857,-0.026534,26.637,16.26,12.876,6.5657,2.3383,1.9754,8.933,2.0952,16.693,3.7228,18.682,5.3685,49.32
1.045,1.07,1.0563,-4.4421,-13.154,-13.181,207.75,33.652,-2.4722,4.4531,1.7624,0.78388,-0.55161,21.115,18.021,8.0922,6.8168,3.3101,2.1688,7.4624,2.14,16.878,5.3354,13.735,6.3428,56.681
1.045,1.07,1.045,-5.3213,-15.417,-16.273,247.65,54.409,-3.8413,4.612,1.4283,0.9747,-0.35212,32.596,18.389,13.519,13.299,4.1508,1.7699,6.6065,1.2909,14.52,5.9589,14.037,5.0412,39.041
1.045,1.07,1.0453,-4.9112,-13.957,-14.899,228.72,46.706,-2.782,4.908,2.4261,0.66285,1.4586,34.946,23.81,7.1883,6.4027,3.8487,1.295,6.6391,2.213,9.4064,5.3472,14.213,5.9031,27.676
1.045,1.07,1.0547,-4.887,-14.212,-14.663,228.39,41.467,-5.2868,9.5975,2.1141,0.26396,-2.1063,33.314,18.812,0.85706,7.1479,4.8515,2.0659,8.1351,1.9089,14.573,5.5739,15.241,5.0374,44.995
1.045,1.07,1.0448,-4.5405,-13.608,-14.841,212.64,19.025,-4.1907,8.5798,1.271,-0.60187,0.53106,42.751,23.082,9.1306,7.3965,3.9145,2.9381,4.8664,1.8493,10.474,6.4537,15.817,5.529,30.047
