V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,P7,P9,P10,Q10,P11,P12,Q12,P13,P14,Q14,LoadMargin
1.045,1.07,1.0562,-4.4421,-13.06,-13.808,208.19,23.206,-3.3677,10.254,0.81827,31.415,8.5817,7.5317,1.7322,6.9476,0.883,11.562,15.494,4.4598,51.289
1.045,1.07,1.0535,-4.678,-13.704,-15.332,218.79,22.675,-1.1029,9.4622,0.24596,51.481,6.7204,5.331,2.1027,3.6464,1.6292,13.729,9.6398,4.7037,29.163
1.045,1.07,1.0602,-4.925,-14.241,-14.331,230.34,44.585,-2.9168,12.632,-0.082968,14.246,11.365,3.6376,5.7877,6.6875,2.0385,13.348,21.371,4.2814,65.67
1.045,1.07,1.0536,-5.3378,-15.03,-16.318,248.13,58.332,-1.3589,4.6555,-0.89203,38.942,10.484,4.2865,4.2304,6.6072,1.9779,10.816,12.808,5.017,35.954
1.045,1.07,1.0591,-4.2675,-12.101,-13.313,199.81,23.457,-5.6801,8.3647,0.79437,37.067,6.5976,4.1354,3.3652,3.3146,1.7762,9.1393,10.356,4.4795,37.254
1.045,1.07,1.0569,-4.8816,-14.003,-14.321,227.82,48.588,-5.3379,6.9327,-0.67883,21.773,10.186,6.6336,3.515,5.5372,1.0397,15.783,16.073,5.2134,50.484
1.045,1.07,1.056,-4.9246,-13.655,-13.99,229.87,52.879,-4.9915,11.739,0.37874,26.533,4.4341,7.5965,3.3229,6.7856,1.4413,14.325,9.3723,6.0369,30.275
1.045,1.07,1.0494,-5.9634,-16.671,-17.823,277.21,72.34,-3.6828,11.979,0.34653,40.509,5.6734,7.5176,2.9753,8.8853,1.9066,12.169,16.873,5.1209,41.855
1.045,1.07,1.0593,-4.8387,-14.204,-14.915,226.09,37.671,-5.504,6.9807,0.60101,31.172,7.6772,4.0956,5.2754,5.2491,1.8096,15.834,15.75,3.0253,49.179
1.045,1.07,1.0521,-5.4547,-14.782,-15.848,253.74,66.045,-3.0461,11.937,2.0962,31.084,10.723,6.6054,2.3302,2.9117,1.6577,13.674,10.304,6.1671,29.29
1.045,1.07,1.053,-5.301,-15.363,-15.774,247.36,52.155,-5.0035,10.897,1.839,33.882,6.2801,7.5599,2.9355,7.4022,1.8486,21.988,8.0053,7.1405,22.884
1.045,1.07,1.0585,-5.0542,-15.036,-15.188,236.15,43.363,-0.75663,9.0217,0.13571,31.528,7.2592,5.1251,4.075,10.338,1.7156,21.853,7.7688,3.5174,23.228
1.045,1.07,1.0624,-4.1715,-12.406,-12.359,195.74,23.9,-4.4895,7.348,0.72638,20.432,9.0361,5.6224,3.1847,7.1746,1.4631,18.332,8.5344,3.7889,31.749
1.045,1.07,1.0576,-4.9701,-14.272,-14.941,231.74,48.281,-3.379,5.8454,-0.89203,33.194,3.0586,5.5352,5.5803,5.2191,1.3084,15.336,15.666,3.0237,48.125
1.045,1.07,1.0518,-5.3642,-15.286,-16.425,249.71,55.174,-4.4966,6.9406,0.59633,38.039,9.4651,7.4382,2.7516,6.742,0.68985,13.325,14.352,4.8253,39.798
1.045,1.07,1.0552,-5.4867,-16.069,-16.951,255.52,54.817,-5.1819,5.7512,0.54937,34.268,11.583,4.9745,2.5857,9.7657,1.9998,15.311,17.826,3.104,47.686
1.045,1.07,1.0505,-5.231,-14.841,-15.961,243.33,54.905,-2.4592,4.6232,-0.036264,31.183,13.446,8.6247,2.8595,8.3846,1.5998,6.9237,19.228,4.981,53.582
1.045,1.07,1.0559,-5.4607,-14.938,-15.623,254.22,68.788,-5.4276,12.178,-1.6825,28.319,9.6586,6.0395,2.9457,4.7258,2.4701,15.397,11.236,3.7112,32.431
1.045,1.07,1.0605,-4.9516,-13.308,-13.493,230.62,64.834,-5.3416,8.8867,0.3416,13.523,6.6638,4.4246,3.9945,3.7851,2.1751,12.486,15.791,4.3742,51.652
1.045,1.07,1.0588,-4.4633,-12.765,-13.352,208.4,36.482,-2.0652,4.1621,1.429,25.765,9.5276,6.2614,2.6674,5.3352,1.7921,13.67,11.178,3.1051,38.764
1.045,1.07,1.0586,-5.054,-14.929,-15.488,236.15,42.661,-5.1743,8.9658,-2.8688,29.734,11.182,3.0351,1.5887,4.3873,2.1271,20.71,18.766,4.4057,54.948
1.045,1.07,1.0514,-5.2435,-14.927,-15.918,244.17,53.7,-2.9112,7.0766,-0.67398,36.838,9.3341,7.9747,4.015,5.2383,2.0218,14.821,12.118,5.5907,34.542
1.045,1.07,1.0621,-4.0691,-12.224,-13.301,191.31,6.0779,-4.3452,9.5488,1.1457,38.329,6.7737,2.3573,3.9235,4.6777,0.91177,11.787,12.389,2.9373,44.551
1.045,1.07,1.0619,-4.1784,-11.287,-11.293,195.5,41.498,-4.6589,9.6487,-1.0274,15.214,7.3764,5.9557,2.6026,6.252,1.2537,10.629,6.3529,5.0521,25.078
1.045,1.07,1.0574,-4.5706,-12.862,-13.311,213.68,40.32,-4.5639,9.7535,-0.64966,20.84,13.735,5.8407,3.0874,2.4077,1.7473,15.314,10.239,6.6034,35.119
1.045,1.07,1.0592,-4.8292,-13.159,-13.556,224.86,58.019,-1.8558,6.3277,0.22845,18.985,10.144,6.2335,4.4803,5.673,1.5627,11.294,10.052,2.5216,33.43
1.045,1.07,1.0536,-4.7623,-13.073,-14.472,222.43,38.781,-3.6009,13.085,0.55521,36.973,8.77,7.923,3.8452,3.9745,2.3758,5.2008,11.861,3.8425,38.217
1.045,1.07,1.054,-5.0428,-15.042,-16.066,235.71,33.107,-1.9602,10.021,0.68144,36.6,7.7516,4.2596,4.666,2.4235,1.5488,17.269,22.138,5.812,60.86
1.045,1.07,1.0609,-4.5168,-13.039,-13.345,210.97,39.299,-3.3519,4.1677,-0.16346,21.283,9.3315,5.096,3.6878,6.7782,1.9023,13.695,14.41,2.9151,49.504
1.045,1.07,1.0552,-5.1312,-14.1,-15.361,238.6,58.068,-4.1231,5.2092,-0.1473,34.596,11.655,4.5985,3.2825,6.2651,1.0961,8.1906,10.398,4.9947,31.42
1.045,1.07,1.0524,-5.5744,-17.146,-17.785,260.4,41.075,-3.72,10.469,1.6043,39.806,9.5821,5.2491,3.9164,6.8233,2.0456,26.884,16.575,5.8631,41.131
1.045,1.07,1.06,-4.3916,-12.564,-12.602,205.07,40.937,-2.7563,3.0947,0.72472,16.077,10.838,6.8403,3.941,5.1875,1.3085,16.479,9.8583,3.9745,35.279
1.045,1.07,1.0528,-5.0036,-13.424,-14.582,232.93,57.298,-4.7258,9.41,-0.77272,30.186,8.5558,7.7045,2.3018,3.3626,1.723,6.3018,15.724,5.7429,48.904
1.045,1.07,1.0555,-4.691,-12.677,-13.239,218.41,54.449,-3.6121,5.3357,2.0224,23.652,8.9562,6.7882,2.4228,7.3725,1.5817,9.2336,5.9017,7.629,20.145
1.045,1.07,1.0568,-4.4497,-13.056,-13.894,208.11,26.843,-3.3972,5.3982,2.2127,30.737,8.3359,5.1857,3.6941,3.7817,1.8799,13.754,15.107,5.9176,49.93
1.045,1.07,1.0487,-5.6749,-16.319,-17.478,264.18,58.876,-5.3804,9.553,0.4212,39.417,10.046,9.5346,3.0054,6.5799,0.99844,15.025,17.265,4.5447,44.062
1.045,1.07,1.0546,-4.9771,-14.838,-15.474,232.91,33.416,-1.9296,12.25,0.22705,26.696,10.384,5.6079,3.193,5.7881,2.4367,13.984,26.101,5.3318,71.457
1.045,1.07,1.0581,-4.8145,-13.573,-14.003,224.73,48.144,-5.4833,8.3917,-0.0072506,24.984,7.8,6.1362,4.8077,6.9981,2.4442,12.634,11.332,4.5976,37.158
1.045,1.07,1.0568,-4.5373,-12.821,-13.785,211.72,38.082,-3.4163,4.6478,-1.0321,35.199,6.5533,8.465,4.1514,4.5493,2.345,11.157,9.9738,1.346,33.915
1.045,1.07,1.0555,-5.0335,-13.944,-14.371,234.28,60.87,-2.7984,5.9849,-1.233,24.524,8.1579,7.5964,3.7006,7.875,2.0316,11.731,12.007,4.8061,37.422
1.045,1.07,1.0551,-4.775,-14.122,-15.32,223.19,29.434,-4.0646,7.1758,0.15974,41.084,9.4244,4.0394,3.6787,5.0599,1.6658,14.234,13.353,6.3135,40.419
1.045,1.07,1.0544,-5.4046,-14.675,-15.275,251.23,71.834,-3.2289,8.7311,0.74775,23.518,9.1063,6.4591,3.6892,7.2566,2.2156,10.654,13.262,5.5977,38.459
1.045,1.07,1.0591,-4.9656,-13.759,-13.789,231.39,61.368,-6.5262,7.1553,0.43514,18.059,10.332,6.2791,3.6243,9.0103,1.1892,15.197,5.9166,5.0482,19.23
1.045,1.07,1.0568,-4.5976,-13.849,-14.024,215.37,29.36,-2.6932,8.5084,-0.85342,23.746,9.4357,7.2437,1.3927,6.7205,2.0774,18.328,19.666,4.9091,61.225
1.045,1.07,1.0554,-5.2926,-14.578,-15.114,246.08,67.966,-3.4452,6.3639,0.18552,24.53,10.095,5.8129,3.3563,6.504,1.6624,14.155,11.04,5.75,32.669
1.045,1.07,1.0476,-6.1336,-17.738,-19.443,285.09,64.125,-3.5967,9.4299,0.94531,48.973,8.4645,6.5613,1.7675,8.2533,2.2437,13.006,23.418,3.2659,52.685
1.045,1.07,1.0597,-5.2151,-13.859,-13.933,242.1,80.378,-3.4705,4.5604,-0.14749,10.438,9.5287,4.1246,2.7993,4.3993,1.6194,14.537,14.045,4.6935,43.384
1.045,1.07,1.0601,-4.3346,-12.052,-12.663,202.51,37.366,-3.7748,6.1419,-0.089321,25.135,8.1495,5.5919,5.6801,4.5012,1.9216,9.8144,8.2326,3.6686,30.334
1.045,1.07,1.0563,-4.996,-14.416,-15.371,232.64,47.853,-3.7851,2.1634,0.67894,31.24,9.092,4.2527,4.6458,6.442,1.3694,11.203,18.64,4.6663,55.385
1.045,1.07,1.0532,-5.68,-16.065,-17.258,263.88,67.137,-4.2522,5.123,-0.045107,36.515,11.926,3.8014,3.1237,7.1197,1.689,13.546,15.462,5.5236,40.501
1.045,1.07,1.0559,-4.9304,-13.498,-14.352,229.66,53.894,-3.3146,8.0002,1.1911,28.493,11.845,5.3026,3.0399,6.2781,1.0542,10.521,6.3029,6.16,20.215
1.045,1.07,1.0573,-4.4075,-12.279,-12.663,206.01,39.944,-5.2533,7.9258,-0.45607,23.577,7.9284,7.8958,3.3479,5.684,1.4355,11.574,8.5834,5.837,30.986
