V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,P7,P9,P10,P11,P12,P13,P14,LoadMargin
1.045,1.07,1.0615,-4.347,-12.376,-12.122,203.14,43.35,-4.3494,4.3805,-1.6384,13.42,5.0349,2.4833,5.7013,16.329,16.186,156.19
1.045,1.07,1.0548,-5.1066,-15.303,-16.061,238.6,38.342,-4.8398,8.4347,-1.1372,41.346,5.2822,2.3788,9.5434,17.739,15.5,108.8
1.045,1.07,1.0563,-4.7992,-13.273,-14.23,223.58,49.89,-5.7066,5.2514,-0.32162,26.378,12.019,2.5268,4.8453,8.2209,15.105,161.57
1.045,1.07,1.056,-5.0087,-14.772,-15.286,234.07,40.928,-3.8598,9.5335,-0.54966,28.949,11.203,3.5166,5.6043,18.761,15.42,121.34
1.045,1.07,1.0584,-4.6375,-13.056,-13.363,216.7,43.041,-3.1277,9.6025,0.74535,15.084,11.049,2.7109,4.0635,12.133,19.206,142.52
1.045,1.07,1.0583,-4.676,-13.402,-13.765,218.17,43.698,-3.9269,4.3058,2.7202,23.014,10.019,3.8646,4.2945,18.443,8.7304,145.78
1.045,1.07,1.0582,-4.6562,-13.245,-13.744,217.64,40.71,-4.1051,9.2914,-1.952,28.856,8.9562,3.1521,6.9435,13.703,9.0419,137.14
1.045,1.07,1.0554,-5.3803,-15.038,-15.593,250.24,66.454,-3.3652,6.6734,-0.0095111,30.752,5.852,5.2723,5.9604,17.37,9.6222,191.87
1.045,1.07,1.0545,-5.4074,-14.871,-15.661,251.83,64.191,-4.2665,12.587,-0.94772,22.424,13.393,4.8306,5.2918,8.6996,18.816,182.59
1.045,1.07,1.056,-4.7572,-13.438,-14.338,222.06,41.542,-3.1317,8.2893,-0.31178,33.884,2.3883,5.0159,2.4278,12.494,16.821,132.6
1.045,1.07,1.0576,-4.4476,-12.971,-13.783,207.96,28.997,-5.2204,4.9231,2.0507,31.478,10.854,4.3467,7.1373,11.791,8.2843,99.08
1.045,1.07,1.0556,-4.702,-14.577,-15.321,220.33,20.583,-5.8744,7.0508,0.76861,32.559,12.42,3.4679,4.7323,19.092,20.102,59.586
1.045,1.07,1.0522,-5.3266,-14.996,-16.443,247.95,53.396,-3.8738,8.0006,0.24499,39.807,13.133,3.2542,5.5587,10.802,11.675,149.7
1.045,1.07,1.0579,-4.586,-13.219,-13.889,214.79,31.328,-5.3401,11.949,-0.36688,33.636,9.0301,2.377,4.6161,17.368,6.2377,106.11
1.045,1.07,1.0593,-4.5803,-12.723,-13.064,214.23,42.11,-5.2673,11.937,0.7165,18.052,10.512,1.8335,4.2615,12.965,13.186,146.68
1.045,1.07,1.0554,-4.7114,-14.152,-15.106,220.55,25.505,-4.3647,8.3764,-0.24934,36.795,11.81,4.0058,7.7902,12.91,14.272,77.697
1.045,1.07,1.0537,-5.1144,-14.785,-15.883,238.46,44.834,-3.0858,7.2381,0.30036,37.959,9.6839,3.0826,5.4599,14.721,14.062,129.6
1.045,1.07,1.0554,-5.2734,-15.441,-15.769,245.95,52.33,-3.2516,8.166,0.41942,20.814,11.73,3.9487,9.6798,13.255,23.435,144
1.045,1.07,1.0579,-5.1568,-13.872,-14.066,240.16,67.85,-3.5492,11.725,1.0041,16.232,5.7097,3.5532,6.0959,11.745,15.02,211
1.045,1.07,1.052,-5.6913,-15.78,-16.982,264.45,69.029,-3.2861,8.5883,1.3837,37.972,7.1956,4.189,4.9472,13.941,13.288,183.28
1.045,1.07,1.054,-4.8283,-13.844,-15.164,225.44,36.27,-3.1433,8.541,-1.4462,38.697,14.2,3.1642,3.5339,12.287,10.443,111.26
