V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,Q5,P7,P9,P10,Q10,P11,P12,Q12,P13,P14,Q14,LoadMargin
1.045,1.07,1.0544,-5.7437,-15.919,-17.62,267,64.913,-4.0914,10.046,1.5781,0.54084,44.487,10.126,2.5895,2.8341,4.4413,1.9302,12.243,13.183,2.8819,26.299
1.045,1.07,1.0522,-4.726,-13.895,-15.081,221.28,25.378,-4.8575,11.733,1.752,0.95436,45.528,5.0724,8.5025,2.3698,8.8007,1.9259,10.829,11.31,5.5492,35.845
1.045,1.07,1.0585,-4.4198,-12.958,-13.515,207.5,22.774,-3.9892,13.798,1.0384,-1.4399,29.607,12.549,6.9976,3.9986,6.1795,1.5165,14.09,7.9979,3.4549,47.758
1.045,1.07,1.0612,-4.5058,-12.586,-12.653,210.39,47.454,-5.8541,6.0769,1.9778,-1.7205,17.501,5.097,3.9344,4.0574,6.8787,1.7602,11.559,15.054,6.2721,21.488
1.045,1.07,1.055,-4.761,-14.102,-15.171,222.72,28.467,-5.0381,8.7972,1.9101,0.37345,38.855,7.0561,4.7246,2.6994,6.8448,2.2271,12.156,17.851,6.3174,26.405
1.045,1.07,1.0563,-4.9649,-14.467,-15.155,231.68,43.681,-3.7195,6.5129,1.5912,-0.35988,30.478,10.207,6.9464,5.0784,8.5271,1.4092,12.341,14.797,2.8328,19.721
1.045,1.07,1.0565,-4.6787,-13.305,-14.222,218.6,37.027,-4.1096,8.9742,1.986,-0.14902,29.722,10.921,4.7383,3.7776,3.5885,1.283,11.498,14.117,6.1127,29.164
1.045,1.07,1.0485,-5.7648,-17.287,-18.557,268.11,53.991,-1.9152,3.1988,1.3755,-0.0050062,47.46,9.8975,7.2693,5.0318,8.2397,1.548,18.768,16.943,4.3904,7.611
1.045,1.07,1.054,-4.9773,-14.716,-15.577,232.03,41.616,-2.9976,2.7757,1.6376,0.89935,34.994,11.025,4.0228,2.8499,5.6552,0.99713,18.129,13.5,8.281,8.0884
1.045,1.07,1.0565,-4.9169,-14.01,-14.575,229.3,49.547,-3.7043,6.5756,1.6014,-2.3932,24.638,11.341,5.4572,2.9359,6.8045,1.6806,11.732,17.835,5.4535,20.292
1.045,1.07,1.0535,-5.0124,-13.602,-15.217,233.03,53.831,-3.3896,5.3137,2.4798,-0.12701,47.462,1.0673,6.7405,2.5753,4.3362,1.8411,8.1894,9.8552,3.2389,16.276
1.045,1.07,1.0563,-4.9672,-13.652,-14.775,231.16,53.606,-3.5289,5.6342,1.7906,1.2145,32.98,10.79,4.8363,4.8746,8.6167,0.71397,5.8131,7.3568,4.6387,17.776
1.045,1.07,1.0548,-5.1451,-14.598,-15.286,239.63,54.737,-3.5944,6.5382,2.0313,0.55155,31.162,5.7345,6.2456,3.6442,5.917,1.9046,15.081,15,5.2636,19.349
1.045,1.07,1.0578,-4.5861,-12.452,-13.311,214.04,43.594,-3.9435,9.6113,2.2671,1.9546,25.621,10.338,3.349,1.5718,4.4756,1.1294,8.8479,9.3981,7.8611,33.363
1.045,1.07,1.0568,-4.0396,-12.083,-12.943,189.53,12.388,-4.9515,5.0046,0.98683,1.4305,35.834,7.3061,5.5835,3.2614,6.1425,1.6856,11.893,9.6763,7.8531,17.852
1.045,1.07,1.0621,-4.3736,-11.442,-11.493,204.29,51.417,-2.9913,11.863,2.1201,-1.5429,5.8336,11.885,4.0956,3.2062,3.5245,1.6289,7.2032,13.124,5.5108,44.676
1.045,1.07,1.0542,-4.7813,-14.088,-14.773,223.55,34.476,-3.6151,8.4909,1.7983,-0.6751,27.82,13.123,7.9785,3.3394,6.5819,1.5362,12.662,18.011,4.7619,25.73
1.045,1.07,1.0532,-5.257,-14.994,-16.002,244.65,55.427,-5.2195,4.7471,1.9564,-0.058653,33.285,10.113,6.2914,2.4851,4.5956,1.4818,14.779,17.377,5.3724,13.423
1.045,1.07,1.0571,-4.6738,-14.064,-14.34,219.06,28.781,-4.7436,10.472,1.3064,-0.15464,24.435,12.223,4.7636,2.9099,5.6922,1.4196,19.163,16.24,7.7138,32.586
1.045,1.07,1.0588,-5.1908,-14.661,-14.712,241.85,62.485,-4.2413,7.9252,2.0299,-0.69045,16.288,9.8278,3.8808,3.0555,4.6183,2.0687,19.496,17.245,5.6502,23.635
1.045,1.07,1.0515,-4.8091,-14.169,-15.171,224.6,34.876,-4.9707,6.1117,2.1833,-2.0518,35.241,12.074,9.1237,3.0184,7.4379,1.3159,10.244,17.791,5.6191,17.951
1.045,1.07,1.0579,-4.2966,-12.021,-12.298,200.81,38.396,-3.6539,6.2438,1.7333,-1.0266,19.211,8.5212,8.7074,3.5813,4.8486,1.7458,10.981,12.528,4.2172,22.848
1.045,1.07,1.054,-5.609,-16.902,-17.361,261.38,53.51,-3.7957,6.0729,2.0349,1.0293,26.389,10.885,4.2646,3.9718,3.4679,1.9923,24.824,27.031,5.1039,14.777
1.045,1.07,1.0512,-5.9728,-16.639,-17.295,277.37,81.432,-5.113,8.4833,1.1478,0.58247,30.826,7.9408,5.7571,2.7553,6.5874,1.7363,18.738,14.477,7.8723,21.403
1.045,1.07,1.0555,-4.4117,-12.486,-13.07,206.28,34.244,-1.7432,8.3878,1.8629,-0.88765,24.01,6.1422,7.9633,3.5035,1.4345,1.6067,11.763,19.521,5.4585,28.036
1.045,1.07,1.053,-5.6442,-15.435,-16.63,262.11,73.461,-6.2422,7.1467,1.8792,-0.5294,37.768,8.6934,6.492,3.7177,8.6601,2.0372,9.4194,10.163,3.9555,19.546
1.045,1.07,1.0593,-4.9604,-13.956,-14.305,231.24,54.833,-4.4454,6.5571,0.51277,1.0673,23.142,11.6,4.2741,2.8657,5.4726,1.9489,18.801,6.6106,4.9769,21.015
1.045,1.07,1.0473,-5.1804,-15.401,-16.757,241.81,34.995,-2.9239,9.1799,2.6759,1.1611,40.705,15.65,10.269,6.2422,5.7313,1.0656,12.343,14.282,5.3143,24.278
1.045,1.07,1.0568,-4.964,-13.497,-13.841,231.32,58.759,-1.9402,10.606,2.0778,1.5308,24.546,5.0091,6.1561,1.2098,5.8932,1.8762,15.556,7.9526,5.942,34.187
1.045,1.07,1.0593,-5.2629,-15.395,-16.003,245.43,50.981,-5.1289,6.981,1.5524,-0.11176,26.969,11.355,0.86917,2.9337,8.0658,1.2019,15.831,20.408,5.2478,19.718
1.045,1.07,1.0584,-4.543,-12.813,-13.471,212.07,41.061,-4.6134,5.4318,1.7236,-1.234,21.941,10.577,6.3413,3.6581,7.5753,0.74373,5.3155,19.1,3.4514,18.301
1.045,1.07,1.0605,-4.8145,-13.998,-14.29,224.97,41.532,-1.8087,8.4192,1.3011,1.3598,23.051,6.6091,4.3328,4.0271,6.2974,0.45963,16.465,17.405,2.6449,26.738
1.045,1.07,1.0546,-4.5201,-13.874,-14.691,211.81,18.383,-3.4909,6.6462,1.9717,-0.37658,37.102,12.051,5.2458,2.0662,3.0048,1.1166,21.43,12.866,7.6865,20.371
1.045,1.07,1.0573,-4.9377,-14.417,-14.608,230.71,45.494,-5.0134,8.7954,1.2213,-0.87304,17.791,10.498,6.6542,3.6411,5.3882,1.8111,15.849,23.528,4.0506,26.111
1.045,1.07,1.0502,-5.3604,-15.161,-16.371,249.55,55.411,-3.5658,8.2488,1.319,-0.27747,44.592,6.7805,7.5123,3.6121,4.8123,1.7911,16.504,7.6562,6.7036,23.028
1.045,1.07,1.0555,-4.8412,-13.722,-13.909,225.85,51.593,-5.7506,6.7891,1.4368,-0.43748,18.77,9.9913,9.0998,4.8694,4.362,1.4341,15.826,14.197,5.2477,21.755
1.045,1.07,1.0582,-4.9466,-14.716,-15.132,230.94,43.04,-5.7333,4.2081,0.65862,-0.55654,22.848,9.9673,4.6131,3.5466,7.4923,1.6917,14.566,25.103,4.1051,12.139
1.045,1.07,1.0539,-5.5333,-15.637,-16.726,257.2,63.073,-3.2141,5.587,1.7107,2.0079,37.111,8.8262,5.6506,5.1742,5.0752,2.1111,16.46,10.795,3.3292,15.243
1.045,1.07,1.0523,-5.2412,-15.277,-16.623,244.63,42.116,-6.0492,10.069,1.1682,-1.3247,39.035,12.139,4.8131,2.2815,3.5141,1.2436,13.752,21.11,6.4652,27.135
1.045,1.07,1.0496,-5.31,-14.896,-16.308,246.97,56.631,-4.3457,5.8443,1.1218,-1.0985,44.248,10.047,7.5048,1.7606,6.049,1.4781,12.464,9.0292,6.9971,16.405
1.045,1.07,1.0538,-4.4954,-12.958,-13.781,210.17,31.198,-2.4955,7.3406,1.8302,-0.33092,33.123,7.1102,7.7257,2.0023,6.5966,2.1184,10.241,14.481,6.8928,24.044
1.045,1.07,1.0514,-5.2719,-15.745,-16.32,246.14,45.032,-4.9796,9.0661,2.0473,-2.3513,26.86,12.683,7.7736,4.0956,8.6957,0.9102,12.517,27.191,6.3607,23.086
1.045,1.07,1.0577,-4.5894,-12.499,-12.852,213.84,51.905,-1.1935,5.7921,2.1515,-0.39972,17.62,8.9675,7.611,4.6271,6.8133,1.4918,7.1835,12.654,3.9496,20.085
1.045,1.07,1.0567,-5.1684,-14.711,-15.313,240.52,58.142,-2.5402,3.8396,1.3181,-0.45975,30.002,7.6404,4.1004,3.6684,7.2764,2.653,15.683,13.351,5.3769,11.382
1.045,1.07,1.054,-5.3965,-16.167,-16.706,251.79,48.355,-5.8006,7.828,2.287,-1.0392,35.469,8.9168,4.9374,4.4706,5.749,1.4526,23.93,15.451,6.6983,20.963
1.045,1.07,1.0557,-4.9439,-13.805,-14.572,230.24,52.721,-2.7474,5.6607,1.4929,0.89328,32.85,4.8448,6.0433,2.9652,5.3893,1.5736,14.398,10.29,5.3279,17.827
1.045,1.07,1.0537,-5.5886,-15.458,-17.292,259.36,65.812,-5.6315,3.391,1.7117,0.38148,46.273,10.467,3.6444,3.3076,5.4066,0.88601,9.8274,11.092,2.9997,9.1256
1.045,1.07,1.0452,-6.0473,-17.328,-19.251,280.8,65.642,-5.2252,6.191,0.96997,0.6896,50.463,11.659,8.7697,5.3213,4.161,1.3714,13.574,17.021,4.0708,14.274
1.045,1.07,1.0568,-4.7866,-13.661,-14.443,223.51,39.725,-1.653,9.2386,2.7543,0.73115,33.257,7.3844,5.9564,2.9839,3.2707,1.4287,17.187,10.213,3.6498,29.577
1.045,1.07,1.0531,-5.39,-15.707,-16.793,251.03,51.164,-2.7148,6.8126,2.7751,-1.5441,39.858,10.382,3.7305,3.1336,6.2497,1.517,16.542,15.89,6.538,18.308
1.045,1.07,1.0551,-5.6471,-15.467,-16.831,262.27,69.989,-1.5239,8.0246,1.2555,0.7832,36.989,10.802,3.2497,2.8361,2.7422,2.2171,14.773,11.673,3.0229,21.73
1.045,1.07,1.0535,-5.1439,-14.799,-15.559,239.77,50.195,-2.4336,7.5578,1.9804,-1.1917,27.588,12.057,6.3162,4.3521,4.1946,1.2578,14.156,19.452,5.7,21.565
1.045,1.07,1.0618,-4.6725,-13.371,-12.772,218.64,48.252,-3.5814,10.917,0.42766,0.39985,9.563,6.3987,4.5124,4.4472,8.6746,1.9641,18.201,12.596,6.6074,37.11
1.045,1.07,1.0561,-5.3857,-14.6,-15.474,250.33,68.146,-2.0987,8.654,1.7004,3.317,26.18,9.7596,5.5023,2.6403,9.1889,1.6305,7.6734,12.485,3.1089,25.199
1.045,1.07,1.0597,-5.107,-14.454,-14.265,238.17,60.592,-5.8905,8.8683,2.0562,1.1942,10.691,10.623,5.0494,4.6979,5.909,2.1456,18.53,15.895,4.9547,27.216
1.045,1.07,1.0566,-4.612,-13.367,-13.784,215.47,38.378,-3.2954,5.9911,1.6355,-0.33569,24.715,11.148,6.0584,3.4745,3.2216,2.1785,18.145,11.841,6.5645,19.742
1.045,1.07,1.052,-5.2249,-15.051,-16.284,243.48,47.854,-4.4092,7.2283,1.5771,-0.56723,34.206,14.06,5.4559,4.556,6.1809,1.5653,9.2974,18.883,6.6101,19.975
1.045,1.07,1.0557,-4.4972,-13.021,-13.53,210.51,31.681,-3.8305,9.2153,1.1342,-0.040439,27.656,8.2888,8.977,3.2963,7.7005,0.99265,11.084,13.272,4.7583,31.076
1.045,1.07,1.0522,-5.0893,-14.487,-15.955,237.13,44.234,-2.5902,7.09,1.3568,1.1775,41.553,11.211,4.9948,2.4283,6.7326,2.2181,9.5228,12.211,6.5893,20.499
1.045,1.07,1.0642,-4.5581,-12.223,-11.782,212.51,60.687,-2.024,7.2225,1.3461,-0.05113,2.3519,6.9079,2.9813,3.0236,5.9194,1.9267,12.771,15.032,4.9301,25.903
1.045,1.07,1.0545,-4.8131,-14.094,-15.535,224.87,29.329,-4.4745,7.5956,1.6838,2.4819,37.389,10.008,4.5106,5.4402,3.2524,2.1564,9.3587,20.119,4.9735,22.239
1.045,1.07,1.0595,-4.7427,-12.824,-12.782,220.87,62.45,-5.0072,6.1961,2.9863,-2.272,16.522,5.7922,6.8598,4.1703,6.5538,2.2425,13.272,8.8777,4.47,21.274
