V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,Q5,P7,Q7,P9,P10,Q10,P11,P12,Q12,P13,P14,Q14,LoadMargin
1.045,1.07,1.0632,-4.0343,-12.002,-11.987,189.33,21.745,-5.6182,5.3924,1.4954,0.69842,0.28781,17.036,9.3929,2.2931,3.0749,3.5947,1.6018,19.146,12.57,7.2192,2.6373
1.045,1.07,1.0493,-6.0028,-17.473,-18.71,278.86,66.994,-5.5111,5.1655,2.5032,1.0467,0.13433,38.505,15.032,6.2864,2.0509,5.5728,2.2484,19.937,18.634,4.6218,2.4636
1.045,1.07,1.0516,-5.1923,-15.622,-16.307,242.25,42.741,-2.592,5.4867,1.2709,-1.3035,0.045964,37.967,9.4811,8.4993,2.6634,6.7873,1.7203,21.352,15.416,5.0219,-3.5611
1.045,1.07,1.0441,-5.7122,-16.617,-18.955,265.73,46.908,-2.9456,7.6359,1.47,1.2991,0.11638,62.978,8.8264,7.0831,4.4461,7.4943,1.8769,9.2421,12.694,6.2601,3.039
1.045,1.07,1.0577,-4.2978,-12.696,-13.253,201.28,24.441,-3.0121,5.8866,1.0658,-0.33742,0.96332,31.529,7.8429,5.7538,3.1603,5.9751,2.2891,15.282,9.9545,5.4873,-1.1787
1.045,1.07,1.0564,-4.919,-14.446,-15.245,229.84,37.291,-3.4586,8.3917,1.1264,1.2204,-1.3802,32.494,11.116,4.8402,2.5052,6.6221,1.4386,15.867,14.091,6.0245,3.6892
1.045,1.07,1.0567,-5.4392,-16.82,-16.755,254.01,46.756,-3.919,6.8446,1.8212,0.050211,-1.3105,26.334,11.632,5.1873,3.8674,6.7573,2.4034,30.954,17.671,4.9164,0.13027
1.045,1.07,1.05,-5.707,-16.809,-18.114,266.07,49.828,-5.2641,11.448,1.5634,0.95557,-1.1807,44.731,10.79,8.3379,4.1461,8.7496,1.2779,14.903,16.384,3.5972,2.3768
1.045,1.07,1.0551,-5.2289,-15.732,-16.704,244.36,36.335,-1.9964,10.489,1.388,-1.1853,0.8761,38.979,9.7127,2.135,3.9525,6.913,0.15237,16.637,20.654,5.7386,-3.1738
1.045,1.07,1.0542,-5.2638,-15.266,-15.364,245.75,54.904,-6.7651,10.892,0.63681,-0.2485,0.42973,23.434,7.3749,6.724,5.0721,8.4818,1.6232,17.216,16.665,8.1615,-0.71209
1.045,1.07,1.0568,-4.7776,-13.081,-13.68,222.82,51.006,-3.0966,9.4385,1.8721,-0.42191,-1.48,21.808,12.32,8.2098,2.4562,6.3343,1.7559,8.9469,11.472,3.9204,-1.4016
1.045,1.07,1.0512,-5.1573,-14.321,-15.677,240.03,52.757,-2.4181,7.5302,1.2413,1.3808,1.1638,37.727,8.0011,8.4546,4.3373,4.4756,1.3672,8.6628,13.895,3.3601,4.0294
1.045,1.07,1.058,-4.9281,-13.42,-13.433,229.44,64.5,-2.109,7.0662,1.458,-0.66623,-0.72139,10.609,9.8004,7.2438,3.8703,4.7546,0.23279,12.842,16.392,4.692,-2.1463
1.045,1.07,1.0547,-5.4931,-15.809,-17.265,255.56,54.502,-3.887,5.1614,1.2108,0.95514,-1.9379,43.71,9.5754,4.4693,3.7819,7.3408,2.5352,12.946,14.612,3.1012,2.5615
1.045,1.07,1.0522,-4.5588,-13.575,-14.341,213.08,29.25,-3.2449,3.9813,1.1178,-0.13217,-0.38356,34.636,9.0152,11.056,4.7096,7.3177,1.9643,12.589,13.026,4.7141,-0.41561
1.045,1.07,1.0602,-5.0432,-14.188,-14.101,235.13,59.62,-2.6823,8.6983,2.0433,-0.14569,-0.1404,17.079,7.4174,3.3763,3.5646,8.3683,1.28,16.783,12.971,6.0171,-0.45568
1.045,1.07,1.0533,-5.4658,-15.283,-16.591,254.13,61.506,-3.6036,6.6936,1.4321,0.30139,-0.18744,36.62,7.7282,5.1449,4.9777,4.7907,1.1456,10.036,18.59,4.3536,0.82463
1.045,1.07,1.055,-4.7908,-14.333,-14.694,224.09,33.726,-2.7168,8.5743,2.539,-0.060522,1.9095,36.114,6.9319,8.3435,3.2048,5.4903,2.4906,24.858,5.6328,3.1283,-0.18768
1.045,1.07,1.0555,-4.9063,-14.704,-16.228,229.39,26.301,-5.3258,7.7154,1.5989,-0.43342,0.026842,46.276,9.7265,1.8147,5.3557,7.4222,1.6309,9.6711,17.1,5.9244,-1.2336
1.045,1.07,1.052,-5.4528,-15.361,-16.222,253.84,61.527,-4.6819,9.096,1.2976,0.10884,-0.36064,37.364,6.8412,8.2627,3.2901,4.1692,0.84096,19.304,9.4623,5.2246,0.30434
1.045,1.07,1.0532,-5.1888,-14.153,-15.129,241.27,62.702,-1.6467,6.8709,0.92693,-0.29957,-0.99699,31.94,10.923,7.3601,2.1631,8.9581,1.5232,7.7876,8.8823,5.8011,-0.89925
1.045,1.07,1.0546,-4.4618,-13.11,-14.09,208.65,26.283,-2.811,5.463,1.5896,-0.33896,-0.83947,33.136,12.252,7.4547,5.8082,6.4418,1.1479,8.722,12.641,5.8155,-1.1025
1.045,1.07,1.0471,-5.8355,-16.605,-18.362,271.25,61.664,-3.2373,8.4969,1.0248,-0.6043,-0.10109,46.189,10.847,8.01,4.5283,3.3668,1.3097,12.306,19.533,4.0709,-1.4629
1.045,1.07,1.0539,-5.4413,-15.811,-16.475,253.42,57.091,-3.795,6.7035,1.0377,0.01835,1.3521,32.326,7.7495,5.5324,1.5218,4.3338,1.801,21.683,19.074,4.4205,0.049525
1.045,1.07,1.056,-4.8953,-14.58,-15.408,228.66,35.078,-5.8623,5.6766,1.9082,2.4216,0.19913,32.5,7.552,6.3902,3.549,9.804,1.9702,10.972,20.813,3.279,7.1159
1.045,1.07,1.0558,-5.7722,-16.14,-16.828,268.27,73.246,-2.6886,8.9081,2.1551,2.2903,-1.7589,26.797,9.4947,4.4799,4.6604,7.7605,1.1399,14.607,16.101,4.5365,6.0289
1.045,1.07,1.0582,-5.078,-14.035,-14.305,236.68,61.36,-4.5708,9.7312,1.2518,-2.0587,-0.41089,23.98,4.5216,6.7153,2.4518,7.4364,1.2001,13.762,14.612,3.7008,-6.4413
1.045,1.07,1.0587,-4.7223,-13.298,-13.717,220.46,45.576,-5.6571,7.8615,2.0554,2.1688,-0.31372,24.062,8.1674,5.9937,4.1303,3.8638,1.3664,16.941,8.4671,4.8205,7.2904
1.045,1.07,1.055,-5.0401,-15.585,-16.317,235.65,30.379,-2.859,6.2797,2.0292,-0.65084,-1.4507,35.416,10.217,6.0672,2.9845,6.3236,0.91158,20.175,23.343,3.9167,-1.7403
1.045,1.07,1.0558,-4.6189,-14.187,-14.862,216.04,26.146,-4.9391,2.5222,1.2537,-1.182,0.18676,36.629,7.6599,6.3116,4.2271,9.0335,1.2209,15.33,16.616,5.1646,-3.5987
1.045,1.07,1.0625,-4.0014,-11.68,-11.718,187.72,22.755,-3.4166,6.5304,1.6493,1.2192,1.1503,19.09,4.3991,6.1512,4.6095,5.9371,1.4387,13.651,13.085,2.3079,4.73
1.045,1.07,1.0537,-5.0517,-14.634,-15.155,235.42,50.373,-3.487,4.8365,1.762,0.058949,-0.59368,22.702,10.533,5.0974,3.4178,5.7699,1.8193,13.595,22.977,9.0234,0.16504
1.045,1.07,1.056,-5.238,-14.348,-15.02,243.54,66.495,-4.4283,5.9817,1.3632,1.2459,-1.0368,18.193,12.653,6.7378,3.9781,5.9301,1.0351,8.4669,18.839,4.1384,3.6952
1.045,1.07,1.0564,-4.611,-13.736,-14.51,215.82,27.75,-5.3836,7.2736,1.3861,-0.50366,-0.92943,31.358,12.509,7.154,4.8072,6.5104,2.1214,13.069,14.154,4.3404,-1.6022
1.045,1.07,1.066,-4.1133,-11.011,-11.106,192.78,36.865,-2.9248,13.052,0.86173,0.23872,-2.1551,8.8524,9.2343,3.0509,3.9583,6.9148,1.9732,4.2707,12.652,4.1135,0.96116
1.045,1.07,1.0608,-4.0004,-11.597,-10.74,187.64,32.674,-3.4206,7.0121,2.3678,-0.032884,1.0003,5.8531,9.8655,7.4935,3.5238,6.0531,1.6093,21.516,4.6372,7.2712,-0.12881
1.045,1.07,1.054,-5.2361,-14.909,-15.602,243.8,56.795,-4.0208,6.227,1.772,0.20257,0.60964,30.19,7.7817,8.1259,3.6325,7.9307,1.8912,13.018,16.296,3.0978,0.58518
1.045,1.07,1.0548,-5.2873,-14.61,-15.55,245.76,63.853,-3.2911,5.2373,1.1913,1.114,2.3969,31.341,10.872,5.3526,4.1698,5.7666,1.6337,13.174,8.4328,3.2918,3.2739
1.045,1.07,1.0579,-4.4274,-12.369,-12.803,206.67,41.812,-4.1064,4.9619,1.5225,0.15778,-0.38281,22.617,6.8099,7.479,3.3261,3.1996,1.6235,13.44,12.293,4.9367,0.56119
1.045,1.07,1.0572,-4.3028,-11.916,-13.507,200.96,28.253,-2.8253,5.8831,1.2211,-0.96738,0.34235,42.044,7.6351,4.552,3.3259,5.6513,0.98438,2.1701,9.4673,3.8658,-3.406
1.045,1.07,1.0533,-5.7865,-16.617,-17.478,269.4,64.091,-5.2638,10.453,1.1297,0.91119,0.024037,31.011,11.564,4.001,2.9951,4.466,1.7065,19.164,20.06,5.9274,2.311
1.045,1.07,1.0547,-5.2571,-15.113,-15.551,244.58,60.286,-4.1505,3.2855,2.7164,-0.85063,0.0012976,20.859,10.402,7.0307,2.6553,6.7181,1.1457,14.018,25.044,4.0448,-2.3501
1.045,1.07,1.0562,-4.8028,-14.068,-14.48,224.27,40.864,-1.9181,6.3106,1.9016,-0.73757,-0.15308,26.131,10.609,5.9364,2.3521,10.037,1.7785,12.722,16.193,5.9989,-2.283
1.045,1.07,1.0587,-3.9901,-11.684,-11.67,187.1,24.091,-4.7257,4.9789,1.1876,0.46748,1.0703,15.141,13.709,7.218,1.6437,5.4694,1.0849,15.87,9.2828,6.9768,1.7842
1.045,1.07,1.0548,-5.206,-14.659,-15.669,242.6,52.257,-3.0299,9.769,2.0841,0.73023,0.18429,32.982,6.754,4.6185,4.4878,1.4552,1.1923,15.314,17.26,5.1508,2.1169
1.045,1.07,1.0586,-4.5888,-13.914,-14.866,215.23,17.582,-2.4147,10.898,1.4575,0.25576,-0.36192,34.498,9.7849,2.9781,1.4144,3.3658,1.3428,16.706,21.705,4.0209,0.77139
1.045,1.07,1.0524,-4.9958,-14.073,-15.575,232.76,44.736,-2.555,6.6559,0.62596,-0.30876,-0.15315,37.23,10.934,5.9178,2.2334,2.7101,1.1048,8.6647,19.214,5.5029,-0.89845
1.045,1.07,1.059,-4.4066,-12.218,-12.448,205.62,44.751,-2.3995,4.9885,2.5091,-0.62241,-0.67799,17.199,9.4021,7.9162,3.1361,7.8347,1.662,8.6039,12.367,3.6696,-2.24
1.045,1.07,1.0519,-5.462,-15.562,-16.805,253.96,59.42,-5.3775,4.1451,1.1689,0.85131,-0.71874,33.821,14.229,6.5578,2.944,5.8301,0.39422,12.193,17.596,5.2567,2.2929
1.045,1.07,1.0592,-4.8684,-13.277,-13.645,227.05,55.528,-3.9671,10.8,2.4866,-0.11579,-0.28254,20.733,10.208,5.0426,3.4285,5.6129,2.2494,13.106,7.9519,4.8256,-0.38387
1.045,1.07,1.0555,-5.1176,-14.757,-15.586,238.57,49.088,-6.0214,6.2437,1.7829,0.61336,-0.088134,29.81,11.058,7.2959,4.2941,7.0397,1.4731,12.551,16.7,2.5634,1.8038
1.045,1.07,1.0523,-5.3344,-14.655,-15.218,248.24,66.254,-4.5672,9.6853,1.1134,1.5595,2.0592,23.5,6.5,7.2885,5.1745,5.3176,1.688,11.456,16.629,6.4488,4.5177
1.045,1.07,1.055,-5.3157,-14.712,-15.893,247.49,58.675,-3.7924,9.9044,1.2442,-1.1807,-1.0687,38.042,5.2996,5.8559,2.7476,5.1168,1.2772,11.157,15.71,3.6322,-3.4139
1.045,1.07,1.0574,-4.5914,-14.292,-15.366,215.08,15.828,-4.2163,4.5369,1.1472,0.96228,-0.93327,39.681,7.7185,3.492,5.7762,5.5299,1.529,14.936,21.059,4.7105,2.8081
1.045,1.07,1.0562,-5.0276,-14.493,-14.571,234.75,51.299,-3.4531,9.8452,1.2264,-1.5673,-0.26839,22.887,7.9251,7.2432,3.9659,9.212,2.12,15.617,14.812,5.7425,-4.7771
1.045,1.07,1.061,-4.4411,-11.88,-11.943,207.1,53.45,-4.1507,6.3771,1.2894,0.35409,-0.66494,14.237,6.9704,7.9553,1.4898,8.5825,1.7324,8.5749,9.0498,2.8004,1.3138
1.045,1.07,1.0535,-4.812,-14.213,-14.678,224.8,37.751,-2.5704,6.5468,1.1236,1.567,0.00954,22.499,10.064,8.1226,3.0585,5.5414,1.8793,14.205,23.502,5.9243,4.5335
1.045,1.07,1.06,-4.1515,-11.197,-11.374,193.99,40.679,-3.2613,6.9741,1.4425,1.5483,-0.63036,11.474,5.2964,6.8895,3.0332,2.3737,1.7172,8.8901,16.692,5.52,5.9192
1.045,1.07,1.0579,-4.2867,-12.169,-12.812,200,36.699,-4.5213,0.77495,2.291,-1.6606,0.90472,29.874,11.041,5.0934,3.3463,5.4821,1.8665,13.497,3.5031,6.4469,-6.0285
1.045,1.07,1.0481,-6.0582,-16.516,-18.035,280.92,81.442,-3.9728,8.4214,1.9777,0.95195,0.83273,40.776,10.044,6.2856,3.0235,5.7711,0.82235,11.233,13.315,6.1031,2.3364
1.045,1.07,1.0532,-4.9078,-14.858,-15.66,229.04,34.858,-3.2517,2.3455,1.6641,1.1043,0.51221,32.876,8.3389,7.1934,2.4524,5.186,1.603,17.378,23.928,4.3856,3.0434
1.045,1.07,1.062,-4.1556,-11.814,-11.837,194.54,33.669,-2.8257,6.4634,1.7651,-2.103,-0.77825,16.664,6.8889,7.1949,2.5935,5.3204,1.2529,13.183,14.821,2.4061,-7.9567
1.045,1.07,1.0529,-5.5842,-15.495,-16.606,259.46,68.766,-3.4266,6.6838,0.82177,0.30545,0.054528,34.878,8.7385,3.8932,4.6231,4.7673,1.4922,13.353,13.938,7.1014,0.83051
1.045,1.07,1.0576,-4.9816,-14.969,-15.478,232.92,37.066,-3.2243,8.5798,1.6078,-2.5668,0.55508,29.211,6.8192,2.4827,3.7478,4.9599,1.9038,17.82,26.338,5.4224,-7.0699
1.045,1.07,1.0513,-5.4143,-16.274,-17.066,252.3,47.421,-3.3352,4.4683,1.4733,1.8303,1.0143,38.826,8.6255,6.6733,5.3161,8.5535,1.4013,19.539,15.004,5.5042,4.7931
1.045,1.07,1.0536,-4.8142,-13.288,-14.598,224.07,48.276,-5.1954,3.6553,1.6764,1.1098,-1.3216,35.666,11.732,7.2307,3.546,7.4582,1.6729,5.4154,7.558,6.232,3.5498
1.045,1.07,1.0615,-4.554,-13.349,-13.291,212.83,40.939,-4.2733,4.0812,1.2204,-1.1589,0.21185,15.333,11.209,5.3168,5.59,8.5626,1.803,14.192,15.374,3.1407,-3.9274
1.045,1.07,1.0564,-5.0811,-14.842,-15.388,236.98,47.469,-4.3198,5.8966,1.4273,1.5949,0.35775,24.297,11.62,5.6372,4.1263,6.1075,1.5657,15.893,18.871,4.0496,4.6627
1.045,1.07,1.0603,-4.0244,-12.117,-12.399,189.08,14.383,-3.3432,7.1929,0.94456,0.68328,0.40745,27.685,7.0846,4.9086,3.5827,6.7859,1.3539,15.878,9.2763,6.0708,2.5459
1.045,1.07,1.0577,-4.9755,-13.626,-14.744,231.91,51.081,-2.5453,10.489,1.7466,-1.0413,2.1444,32.157,9.1772,3.1107,3.2698,5.5673,1.5182,7.2703,13.609,2.8271,-3.2802
1.045,1.07,1.0568,-4.9304,-13.702,-14.115,229.92,53.926,-3.6996,9.2856,1.4932,0.20949,0.064513,24.939,4.9456,5.6954,3.8222,8.1162,1.4228,10.734,13.746,6.3417,0.66857
1.045,1.07,1.0548,-5.0153,-14.098,-15.124,233.74,48.72,-4.457,7.7556,2.0964,1.5586,-0.27271,38.06,8.4623,7.0572,2.9211,5.3643,1.1258,15.403,5.0111,4.2199,4.8027
